Input_Text,GPT_Match,Required_Confidence_Threshold,Embedding_Matches
atmosphere,culture,0.39,"[[""atmosphere"", 10.0], [""culture"", 3.85]]"
attempt,effort,1.0,"[[""effort"", 5.6]]"
benchmark,example,0.74,"[[""index"", 4.86], [""artifact"", 4.63], [""confidence"", 4.39], [""center"", 4.3], [""performance"", 4.26], [""oracle"", 4.26], [""match"", 4.2], [""buck"", 4.17], [""serial"", 4.03], [""block"", 4.03], [""group"", 4.0], [""chemistry"", 3.97], [""currency"", 3.95], [""combination"", 3.87], [""tournament"", 3.86], [""object"", 3.83], [""series"", 3.79], [""cock"", 3.78], [""implement"", 3.74], [""warning"", 3.73], [""development"", 3.72], [""institution"", 3.69], [""industry"", 3.67], [""gain"", 3.66], [""issue"", 3.63], [""example"", 3.59]]"
bird,crane,0.59,"[[""animal"", 6.16], [""cat"", 4.8], [""flight"", 4.61], [""rooster"", 4.57], [""tiger"", 4.46], [""forest"", 4.42], [""egg"", 4.37], [""moon"", 4.36], [""fauna"", 4.31], [""mammal"", 4.25], [""woman"", 4.19], [""eye"", 4.06], [""girl"", 4.04], [""buck"", 4.04], [""jaguar"", 4.03], [""car"", 3.95], [""star"", 3.94], [""airport"", 3.94], [""cock"", 3.85], [""artifact"", 3.76], [""object"", 3.7], [""fruit"", 3.68], [""feline"", 3.67], [""crane"", 3.65]]"
bishop,rook,0.63,"[[""doctor"", 4.56], [""queen"", 4.49], [""rabbi"", 4.27], [""secretary"", 3.98], [""governor"", 3.97], [""mother"", 3.87], [""cock"", 3.84], [""architecture"", 3.74], [""professor"", 3.62], [""oracle"", 3.61], [""airport"", 3.53], [""eye"", 3.5], [""brother"", 3.47], [""wizard"", 3.46], [""egg"", 3.37], [""warning"", 3.34], [""lad"", 3.28], [""woman"", 3.23], [""children"", 3.23], [""star"", 3.22], [""confidence"", 3.21], [""buck"", 3.2], [""kind"", 3.16], [""year"", 3.16], [""noon"", 3.15], [""block"", 3.15], [""Jackson"", 3.15], [""institution"", 3.13], [""hill"", 3.11], [""association"", 3.11], [""center"", 3.08], [""CD"", 3.05], [""wine"", 2.99], [""nurse"", 2.99], [""month"", 2.95], [""flight"", 2.95], [""gin"", 2.94], [""tournament"", 2.92], [""peace"", 2.89], [""slave"", 2.89], [""departure"", 2.88], [""rook"", 2.88]]"
board,match,0.83,"[[""car"", 5.63], [""cock"", 5.33], [""match"", 4.66]]"
boy,lad,0.7,"[[""girl"", 6.95], [""woman"", 5.73], [""children"", 5.71], [""kind"", 5.3], [""slave"", 5.25], [""cock"", 5.16], [""lad"", 4.83]]"
bread,cash,0.62,"[[""food"", 5.52], [""butter"", 5.18], [""egg"", 4.43], [""fruit"", 4.41], [""wine"", 4.24], [""eat"", 4.18], [""music"", 3.75], [""potato"", 3.75], [""lobster"", 3.51], [""news"", 3.48], [""article"", 3.48], [""tableware"", 3.46], [""cabbage"", 3.45], [""kind"", 3.43], [""cash"", 3.41]]"
calculation,computation,1.0,"[[""computation"", 6.62]]"
car,automobile,0.56,"[[""car"", 10.0], [""automobile"", 5.56]]"
cell,phone,0.92,"[[""entity"", 5.05], [""life"", 4.97], [""car"", 4.88], [""collection"", 4.85], [""center"", 4.83], [""group"", 4.76], [""phone"", 4.67]]"
cemetery,graveyard,1.0,"[[""graveyard"", 7.5]]"
century,year,0.43,"[[""century"", 10.0], [""year"", 4.28]]"
championship,tournament,1.0,"[[""tournament"", 4.81]]"
chance,match,0.83,"[[""confidence"", 4.47], [""gain"", 4.21], [""combination"", 4.04], [""chemistry"", 3.99], [""flight"", 3.89], [""cash"", 3.89], [""tournament"", 3.88], [""loss"", 3.86], [""kind"", 3.82], [""issue"", 3.75], [""effort"", 3.72], [""credibility"", 3.71], [""match"", 3.69]]"
chord,music,1.0,"[[""music"", 4.32]]"
coast,shore,1.0,"[[""shore"", 4.92]]"
computer,computation,0.88,"[[""phone"", 4.92], [""equipment"", 4.75], [""information"", 4.5], [""computation"", 4.36]]"
consumer,payment,0.71,"[[""woman"", 5.42], [""cock"", 5.18], [""student"", 5.06], [""cash"", 4.86], [""car"", 4.81], [""object"", 4.8], [""industry"", 4.8], [""gain"", 4.79], [""activity"", 4.79], [""culture"", 4.77], [""equipment"", 4.77], [""collection"", 4.74], [""chemistry"", 4.65], [""production"", 4.6], [""fruit"", 4.54], [""animal"", 4.54], [""issue"", 4.47], [""entity"", 4.47], [""yen"", 4.44], [""slave"", 4.4], [""currency"", 4.39], [""oracle"", 4.38], [""center"", 4.38], [""nation"", 4.29], [""loss"", 4.29], [""personnel"", 4.29], [""American"", 4.19], [""group"", 4.19], [""gin"", 4.16], [""eat"", 4.11], [""article"", 4.1], [""combination"", 4.06], [""performance"", 4.06], [""carnivore"", 4.05], [""doctor"", 4.03], [""confidence"", 4.03], [""news"", 4.02], [""phone"", 3.98], [""kind"", 3.96], [""development"", 3.95], [""cat"", 3.92], [""buck"", 3.87], [""girl"", 3.86], [""artifact"", 3.86], [""payment"", 3.84]]"
crane,fauna,0.26,"[[""crane"", 10.0], [""car"", 4.03], [""cock"", 3.91], [""rooster"", 3.58], [""oracle"", 3.55], [""sprint"", 3.41], [""equipment"", 3.41], [""buck"", 3.4], [""doctor"", 3.29], [""nurse"", 3.22], [""mammal"", 3.21], [""cat"", 3.21], [""artifact"", 3.19], [""tiger"", 3.19], [""animal"", 3.18], [""phone"", 3.17], [""lobster"", 3.09], [""wizard"", 3.07], [""slave"", 3.05], [""collection"", 3.03], [""gin"", 3.03], [""project"", 3.03], [""gain"", 3.02], [""lad"", 3.01], [""carnivore"", 3.0], [""architecture"", 2.97], [""graveyard"", 2.97], [""combination"", 2.96], [""jaguar"", 2.94], [""flight"", 2.92], [""woman"", 2.91], [""year"", 2.89], [""personnel"", 2.88], [""plan"", 2.87], [""center"", 2.85], [""cucumber"", 2.84], [""effort"", 2.83], [""feline"", 2.81], [""match"", 2.8], [""eye"", 2.78], [""cognition"", 2.78], [""egg"", 2.77], [""object"", 2.77], [""ear"", 2.77], [""automobile"", 2.76], [""eat"", 2.76], [""hill"", 2.75], [""implement"", 2.74], [""brother"", 2.74], [""operation"", 2.72], [""approach"", 2.71], [""development"", 2.69], [""serial"", 2.68], [""warning"", 2.68], [""infrastructure"", 2.68], [""place"", 2.67], [""index"", 2.67], [""dollar"", 2.67], [""medal"", 2.67], [""recess"", 2.65], [""fauna"", 2.65]]"
cucumber,fruit,0.4,"[[""cucumber"", 10.0], [""cabbage"", 5.93], [""potato"", 4.09], [""fruit"", 3.99]]"
cup,tableware,0.52,"[[""cock"", 6.59], [""car"", 5.71], [""cash"", 4.98], [""center"", 4.97], [""fruit"", 4.87], [""place"", 4.75], [""buck"", 4.6], [""lad"", 4.54], [""butter"", 4.45], [""phone"", 4.38], [""month"", 4.36], [""gin"", 4.36], [""egg"", 4.28], [""match"", 4.24], [""combination"", 4.17], [""cabbage"", 4.13], [""tournament"", 4.12], [""collection"", 4.09], [""currency"", 4.09], [""eye"", 4.07], [""CD"", 4.04], [""dollar"", 4.04], [""doctor"", 4.03], [""cat"", 4.03], [""ear"", 4.02], [""eat"", 3.96], [""rooster"", 3.95], [""moon"", 3.94], [""term"", 3.94], [""hotel"", 3.93], [""confidence"", 3.92], [""noon"", 3.88], [""yen"", 3.88], [""article"", 3.87], [""group"", 3.86], [""surface"", 3.86], [""flight"", 3.84], [""oracle"", 3.81], [""cucumber"", 3.8], [""chemistry"", 3.79], [""jewel"", 3.77], [""gain"", 3.77], [""payment"", 3.76], [""kind"", 3.73], [""potato"", 3.71], [""lobster"", 3.7], [""object"", 3.69], [""life"", 3.68], [""basketball"", 3.68], [""recess"", 3.68], [""food"", 3.65], [""water"", 3.65], [""hill"", 3.56], [""girl"", 3.55], [""stove"", 3.55], [""issue"", 3.54], [""queen"", 3.53], [""slave"", 3.51], [""institution"", 3.51], [""mother"", 3.48], [""children"", 3.47], [""tiger"", 3.47], [""culture"", 3.47], [""equipment"", 3.46], [""activity"", 3.46], [""year"", 3.44], [""wizard"", 3.43], [""tableware"", 3.42]]"
delay,project,0.62,"[[""block"", 5.38], [""departure"", 4.9], [""lad"", 4.48], [""warning"", 4.18], [""noon"", 3.89], [""payment"", 3.87], [""term"", 3.85], [""loss"", 3.83], [""doctor"", 3.82], [""plan"", 3.76], [""gain"", 3.74], [""implement"", 3.74], [""flight"", 3.63], [""confidence"", 3.59], [""hill"", 3.57], [""recess"", 3.55], [""match"", 3.55], [""death"", 3.48], [""place"", 3.46], [""development"", 3.45], [""CD"", 3.45], [""airport"", 3.43], [""center"", 3.4], [""phone"", 3.35], [""sprint"", 3.33], [""project"", 3.32]]"
deployment,operation,1.0,"[[""operation"", 6.02]]"
development,project,0.55,"[[""development"", 10.0], [""production"", 6.1], [""project"", 5.47]]"
direction,avenue,0.76,"[[""center"", 4.68], [""place"", 4.52], [""warning"", 4.15], [""plan"", 4.15], [""chemistry"", 4.14], [""development"", 4.1], [""yen"", 4.09], [""approach"", 4.03], [""doctor"", 4.02], [""issue"", 3.99], [""activity"", 3.97], [""term"", 3.95], [""recommendation"", 3.92], [""energy"", 3.9], [""object"", 3.89], [""eye"", 3.88], [""departure"", 3.79], [""phone"", 3.78], [""operation"", 3.77], [""gin"", 3.74], [""dollar"", 3.73], [""proximity"", 3.68], [""landscape"", 3.68], [""noon"", 3.62], [""CD"", 3.58], [""avenue"", 3.57]]"
dividend,cash,0.82,"[[""dollar"", 4.17], [""payment"", 4.0], [""gain"", 3.58], [""collection"", 3.57], [""currency"", 3.56], [""jewel"", 3.53], [""departure"", 3.46], [""fruit"", 3.44], [""tournament"", 3.43], [""cash"", 3.4]]"
doctor,nurse,0.49,"[[""doctor"", 10.0], [""nurse"", 4.92]]"
dollar,buck,0.42,"[[""dollar"", 10.0], [""currency"", 5.24], [""cash"", 4.4], [""yen"", 4.29], [""buck"", 4.24]]"
drink,Wine,1.0,"[[""wine"", 5.61], [""eat"", 5.02], [""water"", 4.74], [""food"", 4.47], [""lad"", 4.38]]"
energy,sun,0.26,"[[""energy"", 10.0], [""water"", 4.98], [""entity"", 4.79], [""equipment"", 4.77], [""activity"", 4.64], [""effort"", 4.53], [""chemistry"", 4.52], [""metal"", 4.35], [""currency"", 4.28], [""information"", 4.25], [""science"", 4.22], [""life"", 4.15], [""animal"", 4.15], [""music"", 4.12], [""production"", 4.11], [""yen"", 4.06], [""gain"", 4.06], [""fruit"", 3.98], [""woman"", 3.9], [""object"", 3.82], [""peace"", 3.81], [""atmosphere"", 3.8], [""issue"", 3.77], [""article"", 3.74], [""eat"", 3.74], [""development"", 3.7], [""nation"", 3.69], [""confidence"", 3.67], [""personnel"", 3.65], [""death"", 3.65], [""forest"", 3.64], [""substance"", 3.64], [""performance"", 3.62], [""ear"", 3.57], [""food"", 3.55], [""importance"", 3.54], [""industry"", 3.53], [""gin"", 3.5], [""artifact"", 3.49], [""flight"", 3.48], [""phone"", 3.44], [""center"", 3.41], [""eye"", 3.41], [""news"", 3.33], [""kind"", 3.33], [""association"", 3.28], [""operation"", 3.27], [""culture"", 3.27], [""payment"", 3.24], [""organism"", 3.24], [""sex"", 3.24], [""dollar"", 3.14], [""year"", 3.14], [""insurance"", 3.14], [""infrastructure"", 3.13], [""cash"", 3.13], [""term"", 3.13], [""proximity"", 3.12], [""string"", 3.09], [""radio"", 3.08], [""children"", 3.07], [""credibility"", 3.01], [""car"", 3.01], [""combination"", 2.98], [""oracle"", 2.95], [""wizard"", 2.95], [""hotel"", 2.94], [""wine"", 2.93], [""institution"", 2.93], [""star"", 2.92], [""kilometer"", 2.9], [""butter"", 2.89], [""egg"", 2.89], [""jewel"", 2.87], [""computation"", 2.85], [""architecture"", 2.85], [""noon"", 2.84], [""group"", 2.83], [""warning"", 2.78], [""example"", 2.78], [""history"", 2.74], [""tournament"", 2.74], [""place"", 2.74], [""smile"", 2.72], [""recommendation"", 2.7], [""series"", 2.7], [""jazz"", 2.66], [""girl"", 2.63], [""project"", 2.63], [""medal"", 2.6], [""mother"", 2.59], [""similarity"", 2.58], [""sun"", 2.57]]"
experience,life,0.79,"[[""performance"", 5.82], [""activity"", 5.5], [""development"", 5.28], [""issue"", 5.19], [""entity"", 4.97], [""artifact"", 4.95], [""history"", 4.89], [""production"", 4.81], [""culture"", 4.77], [""operation"", 4.7], [""example"", 4.65], [""equipment"", 4.62], [""life"", 4.61]]"
five,dollar,0.76,"[[""series"", 4.42], [""tournament"", 3.94], [""example"", 3.9], [""phone"", 3.84], [""combination"", 3.83], [""cock"", 3.78], [""kind"", 3.76], [""serial"", 3.7], [""month"", 3.69], [""fruit"", 3.69], [""yen"", 3.66], [""car"", 3.64], [""life"", 3.61], [""eat"", 3.6], [""match"", 3.58], [""year"", 3.56], [""children"", 3.56], [""flight"", 3.56], [""doctor"", 3.5], [""confidence"", 3.47], [""feline"", 3.39], [""collection"", 3.38], [""dollar"", 3.35]]"
focus,center,1.0,"[[""center"", 5.59]]"
food,fruit,0.53,"[[""food"", 10.0], [""eat"", 5.68], [""fruit"", 5.3]]"
football,soccer,1.0,"[[""soccer"", 5.94]]"
forest,woodland,0.6,"[[""forest"", 10.0], [""woodland"", 6.0]]"
fuck,stupid,0.68,"[[""girl"", 4.99], [""sex"", 4.87], [""slave"", 4.82], [""cock"", 4.74], [""eat"", 4.18], [""death"", 4.11], [""match"", 3.91], [""lad"", 3.9], [""gin"", 3.81], [""life"", 3.8], [""doctor"", 3.79], [""car"", 3.77], [""woman"", 3.74], [""cash"", 3.73], [""loss"", 3.67], [""issue"", 3.65], [""mother"", 3.63], [""gain"", 3.63], [""cat"", 3.61], [""kind"", 3.61], [""food"", 3.58], [""phone"", 3.56], [""place"", 3.55], [""animal"", 3.5], [""example"", 3.49], [""buck"", 3.47], [""flight"", 3.45], [""yen"", 3.44], [""culture"", 3.39], [""fruit"", 3.38], [""stupid"", 3.38]]"
furnace,stove,1.0,"[[""stove"", 6.5]]"
gem,jewel,1.0,"[[""jewel"", 5.57]]"
glass,tableware,0.82,"[[""wine"", 4.93], [""metal"", 4.66], [""gin"", 4.57], [""tableware"", 4.05]]"
governor,professor,0.41,"[[""governor"", 10.0], [""secretary"", 5.1], [""professor"", 4.06]]"
holy,oracle,0.85,"[[""kind"", 4.24], [""jewel"", 3.93], [""peace"", 3.81], [""oracle"", 3.58]]"
hospital,nurse,0.6,"[[""hotel"", 6.56], [""doctor"", 5.35], [""airport"", 5.29], [""institution"", 4.92], [""place"", 4.59], [""center"", 4.49], [""hill"", 4.26], [""nurse"", 3.94]]"
image,object,0.89,"[[""entity"", 4.76], [""information"", 4.6], [""artifact"", 4.47], [""eye"", 4.37], [""landscape"", 4.3], [""object"", 4.24]]"
investigation,science,0.68,"[[""interview"", 5.04], [""issue"", 4.55], [""operation"", 4.29], [""recommendation"", 4.05], [""activity"", 3.87], [""information"", 3.71], [""development"", 3.67], [""isolation"", 3.6], [""project"", 3.5], [""collection"", 3.49], [""chemistry"", 3.48], [""insurance"", 3.48], [""conclusion"", 3.47], [""effort"", 3.45], [""personnel"", 3.43], [""science"", 3.43]]"
jaguar,feline,0.43,"[[""jaguar"", 10.0], [""tiger"", 5.73], [""cat"", 4.71], [""automobile"", 4.56], [""animal"", 4.4], [""jewel"", 4.36], [""feline"", 4.29]]"
journal,article,1.0,"[[""article"", 5.41]]"
journey,voyage,1.0,"[[""voyage"", 6.53]]"
king,tiger,0.66,"[[""queen"", 5.91], [""kind"", 5.41], [""cock"", 4.66], [""wizard"", 4.52], [""children"", 4.41], [""group"", 4.24], [""star"", 4.16], [""gin"", 4.15], [""woman"", 4.14], [""lad"", 4.1], [""governor"", 4.1], [""Jackson"", 4.08], [""oracle"", 4.04], [""yen"", 3.93], [""nation"", 3.92], [""slave"", 3.91], [""doctor"", 3.9], [""confidence"", 3.9], [""tiger"", 3.89]]"
lad,rooster,0.33,"[[""lad"", 10.0], [""car"", 5.02], [""slave"", 5.01], [""flight"", 4.99], [""loss"", 4.87], [""kind"", 4.68], [""hill"", 4.67], [""hotel"", 4.66], [""cock"", 4.62], [""life"", 4.55], [""place"", 4.55], [""girl"", 4.51], [""live"", 4.48], [""gain"", 4.29], [""yen"", 4.18], [""gin"", 4.15], [""lobster"", 4.1], [""CD"", 4.08], [""doctor"", 4.07], [""landscape"", 4.04], [""match"", 4.04], [""noon"", 4.03], [""term"", 3.96], [""departure"", 3.95], [""children"", 3.94], [""cat"", 3.93], [""mother"", 3.93], [""student"", 3.9], [""oracle"", 3.89], [""confidence"", 3.85], [""airport"", 3.79], [""egg"", 3.75], [""eat"", 3.74], [""woman"", 3.71], [""moon"", 3.71], [""ear"", 3.68], [""equipment"", 3.68], [""phone"", 3.65], [""cash"", 3.62], [""queen"", 3.61], [""death"", 3.59], [""culture"", 3.55], [""month"", 3.48], [""smile"", 3.47], [""wizard"", 3.47], [""eye"", 3.41], [""animal"", 3.41], [""recess"", 3.38], [""brother"", 3.34], [""activity"", 3.33], [""rooster"", 3.32]]"
life,organism,0.37,"[[""life"", 10.0], [""live"", 6.94], [""death"", 5.72], [""activity"", 5.11], [""place"", 4.78], [""culture"", 4.77], [""fruit"", 4.73], [""hotel"", 4.69], [""entity"", 4.59], [""flight"", 4.57], [""lad"", 4.55], [""music"", 4.55], [""girl"", 4.51], [""car"", 4.49], [""woman"", 4.36], [""year"", 4.32], [""news"", 4.27], [""animal"", 4.24], [""issue"", 4.23], [""sex"", 4.21], [""development"", 4.2], [""energy"", 4.15], [""landscape"", 4.14], [""chemistry"", 4.1], [""mother"", 4.07], [""eat"", 4.01], [""phone"", 4.0], [""insurance"", 3.99], [""yen"", 3.99], [""kind"", 3.96], [""production"", 3.91], [""doctor"", 3.86], [""currency"", 3.85], [""industry"", 3.84], [""food"", 3.84], [""term"", 3.83], [""institution"", 3.74], [""article"", 3.72], [""object"", 3.72], [""nation"", 3.7], [""month"", 3.7], [""hill"", 3.7], [""example"", 3.69], [""gain"", 3.69], [""organism"", 3.66]]"
line,phone,0.69,"[[""series"", 5.7], [""match"", 5.57], [""term"", 5.3], [""center"", 5.24], [""chemistry"", 5.15], [""example"", 4.99], [""string"", 4.98], [""place"", 4.79], [""plan"", 4.74], [""serial"", 4.7], [""issue"", 4.58], [""landscape"", 4.56], [""yen"", 4.51], [""group"", 4.33], [""index"", 4.32], [""article"", 4.31], [""activity"", 4.26], [""entity"", 4.24], [""lad"", 4.24], [""oracle"", 4.2], [""life"", 4.2], [""sprint"", 4.14], [""live"", 4.13], [""year"", 4.08], [""car"", 4.04], [""block"", 4.04], [""hill"", 4.0], [""object"", 3.98], [""eye"", 3.97], [""surface"", 3.94], [""collection"", 3.94], [""phone"", 3.93]]"
liquid,water,1.0,"[[""water"", 5.72]]"
listing,series,0.97,"[[""activity"", 5.19], [""series"", 5.03]]"
lobster,animal,0.39,"[[""lobster"", 10.0], [""lad"", 4.1], [""butter"", 4.06], [""oracle"", 4.03], [""cock"", 4.01], [""tiger"", 4.0], [""egg"", 3.97], [""rooster"", 3.96], [""jewel"", 3.95], [""eat"", 3.92], [""slave"", 3.91], [""animal"", 3.88]]"
magician,wizard,0.57,"[[""magician"", 10.0], [""wizard"", 5.67]]"
man,lad,0.59,"[[""woman"", 7.08], [""girl"", 5.47], [""animal"", 5.34], [""slave"", 5.04], [""object"", 5.0], [""kind"", 4.99], [""children"", 4.75], [""cock"", 4.58], [""doctor"", 4.58], [""personnel"", 4.37], [""gin"", 4.36], [""brother"", 4.34], [""entity"", 4.3], [""mother"", 4.24], [""nation"", 4.22], [""car"", 4.22], [""sex"", 4.17], [""lad"", 4.16]]"
marathon,sprint,0.92,"[[""kilometer"", 4.29], [""medal"", 4.1], [""sprint"", 3.97]]"
media,radio,0.91,"[[""information"", 4.85], [""music"", 4.43], [""radio"", 4.42]]"
midday,noon,1.0,"[[""noon"", 5.89]]"
mile,kilometer,0.93,"[[""month"", 5.49], [""kilometer"", 5.1]]"
ministry,institution,0.86,"[[""secretary"", 4.65], [""institution"", 3.98]]"
minority,group,0.87,"[[""racism"", 4.06], [""woman"", 3.98], [""issue"", 3.88], [""nation"", 3.81], [""student"", 3.67], [""group"", 3.54]]"
money,cash,1.0,"[[""cash"", 6.24]]"
monk,rabbi,1.0,"[[""rabbi"", 4.43]]"
month,year,0.65,"[[""month"", 10.0], [""year"", 6.47]]"
morality,culture,1.0,"[[""culture"", 4.24]]"
murder,manslaughter,1.0,"[[""manslaughter"", 7.76]]"
museum,institution,0.87,"[[""theater"", 4.42], [""institution"", 3.86]]"
music,jazz,0.5,"[[""music"", 10.0], [""jazz"", 4.97]]"
noon,moon,0.5,"[[""noon"", 10.0], [""moon"", 5.0]]"
observation,information,0.68,"[[""object"", 5.3], [""operation"", 5.1], [""collection"", 4.9], [""activity"", 4.88], [""warning"", 4.67], [""artifact"", 4.59], [""oracle"", 4.4], [""performance"", 4.28], [""departure"", 4.14], [""noon"", 4.07], [""issue"", 4.01], [""doctor"", 4.01], [""interview"", 4.01], [""eye"", 4.0], [""animal"", 3.99], [""example"", 3.97], [""landscape"", 3.87], [""entity"", 3.83], [""group"", 3.82], [""place"", 3.81], [""index"", 3.79], [""culture"", 3.78], [""cock"", 3.76], [""equipment"", 3.76], [""match"", 3.71], [""student"", 3.7], [""serial"", 3.68], [""institution"", 3.68], [""tournament"", 3.67], [""live"", 3.66], [""recognition"", 3.66], [""history"", 3.65], [""article"", 3.64], [""development"", 3.62], [""block"", 3.62], [""information"", 3.6]]"
opera,theater,1.0,"[[""theater"", 5.41]]"
