Input_Text,Algorithm_Match_GPT,Reasoning,Embedding_Top_Matches,GPT_In_Threshold_Embedding
attempt,effort,Similar meaning to 'attempt'.,"[[""effort"", 5.6], [""artifact"", 5.43], [""activity"", 5.34], [""implement"", 5.18], [""match"", 5.16], [""operation"", 5.05], [""tournament"", 5.02], [""eat"", 4.98], [""object"", 4.95], [""issue"", 4.77], [""wizard"", 4.69], [""gain"", 4.66], [""project"", 4.66], [""oracle"", 4.65], [""approach"", 4.54], [""flight"", 4.48], [""article"", 4.45], [""combination"", 4.34], [""example"", 4.33], [""plan"", 4.3], [""equipment"", 4.29], [""block"", 4.22], [""series"", 4.18], [""entity"", 4.12], [""development"", 4.08], [""performance"", 4.01], [""chemistry"", 4.0], [""term"", 4.0], [""production"", 3.98], [""institution"", 3.95], [""car"", 3.93], [""fruit"", 3.92], [""egg"", 3.88], [""student"", 3.87], [""association"", 3.86], [""gin"", 3.82], [""collection"", 3.82], [""animal"", 3.79], [""interview"", 3.79], [""warning"", 3.77], [""insurance"", 3.76], [""confidence"", 3.76]]",True
benchmark,example,Provides a standard against which to compare,"[[""index"", 4.86], [""artifact"", 4.63], [""confidence"", 4.39], [""center"", 4.3], [""performance"", 4.26], [""oracle"", 4.26], [""match"", 4.2], [""buck"", 4.17], [""serial"", 4.03], [""block"", 4.03], [""group"", 4.0], [""chemistry"", 3.97], [""currency"", 3.95], [""combination"", 3.87], [""tournament"", 3.86], [""object"", 3.83], [""series"", 3.79], [""cock"", 3.78], [""implement"", 3.74], [""warning"", 3.73], [""development"", 3.72], [""institution"", 3.69], [""industry"", 3.67], [""gain"", 3.66], [""issue"", 3.63], [""example"", 3.59], [""plan"", 3.58], [""collection"", 3.57], [""culture"", 3.54], [""term"", 3.53], [""hill"", 3.51], [""architecture"", 3.5], [""activity"", 3.49], [""star"", 3.46], [""project"", 3.45], [""history"", 3.42], [""recommendation"", 3.42], [""string"", 3.41], [""motto"", 3.4], [""entity"", 3.4], [""CD"", 3.39], [""car"", 3.39], [""nation"", 3.38], [""credibility"", 3.36], [""equipment"", 3.34], [""association"", 3.33], [""butter"", 3.32], [""surface"", 3.29]]",True
bird,crane,A specific type of bird similar to 'bird'.,"[[""animal"", 6.16], [""cat"", 4.8], [""flight"", 4.61], [""rooster"", 4.57], [""tiger"", 4.46], [""forest"", 4.42], [""egg"", 4.37], [""moon"", 4.36], [""fauna"", 4.31], [""mammal"", 4.25], [""woman"", 4.19]]",False
bishop,rook,Similar chess piece.,"[[""doctor"", 4.56], [""queen"", 4.49], [""rabbi"", 4.27], [""secretary"", 3.98], [""governor"", 3.97], [""mother"", 3.87], [""cock"", 3.84], [""architecture"", 3.74], [""professor"", 3.62], [""oracle"", 3.61], [""airport"", 3.53], [""eye"", 3.5], [""brother"", 3.47], [""wizard"", 3.46], [""egg"", 3.37], [""warning"", 3.34], [""lad"", 3.28], [""woman"", 3.23], [""children"", 3.23], [""star"", 3.22], [""confidence"", 3.21], [""buck"", 3.2], [""kind"", 3.16], [""year"", 3.16], [""noon"", 3.15], [""block"", 3.15], [""Jackson"", 3.15], [""institution"", 3.13], [""hill"", 3.11], [""association"", 3.11], [""center"", 3.08]]",False
board,match,Relates to board games and competitions.,"[[""car"", 5.63], [""cock"", 5.33], [""match"", 4.66], [""place"", 4.6], [""equipment"", 4.59], [""buck"", 4.49], [""lad"", 4.47], [""block"", 4.46], [""object"", 4.45], [""phone"", 4.44], [""surface"", 4.4], [""activity"", 4.36], [""term"", 4.33], [""center"", 4.33], [""airport"", 4.24], [""architecture"", 4.24], [""CD"", 4.19], [""shore"", 4.18], [""issue"", 4.16], [""artifact"", 4.15], [""plan"", 4.13], [""article"", 4.11], [""cash"", 4.09], [""oracle"", 4.05], [""string"", 4.04], [""radio"", 4.02], [""hotel"", 4.01], [""tableware"", 3.99], [""gin"", 3.97], [""ear"", 3.96], [""stove"", 3.94], [""recess"", 3.92], [""year"", 3.92], [""woodland"", 3.9], [""forest"", 3.88], [""rook"", 3.88], [""chemistry"", 3.87], [""egg"", 3.87], [""group"", 3.85], [""basketball"", 3.85], [""yen"", 3.82], [""discipline"", 3.81], [""fruit"", 3.8], [""automobile"", 3.78], [""institution"", 3.78], [""crane"", 3.77]]",True
boy,lad,A direct synonym and closely related term.,"[[""girl"", 6.95], [""woman"", 5.73], [""children"", 5.71], [""kind"", 5.3], [""slave"", 5.25], [""cock"", 5.16], [""lad"", 4.83]]",True
bread,cash,slang for money similar to 'bread'.,"[[""food"", 5.52], [""butter"", 5.18], [""egg"", 4.43], [""fruit"", 4.41], [""wine"", 4.24], [""eat"", 4.18], [""music"", 3.75], [""potato"", 3.75]]",False
calculation,computation,"Similar to calculation, performing mathematical operations.","[[""computation"", 6.62], [""chemistry"", 4.56]]",True
car,automobile,Synonymous term for car.,"[[""car"", 10.0], [""automobile"", 5.56], [""cock"", 5.52], [""place"", 5.3], [""equipment"", 5.29], [""cat"", 5.16], [""ear"", 5.09], [""phone"", 5.06], [""lad"", 5.02], [""animal"", 4.89], [""cash"", 4.85], [""hotel"", 4.84], [""match"", 4.59], [""activity"", 4.55], [""doctor"", 4.55], [""object"", 4.53], [""center"", 4.49], [""life"", 4.49], [""airport"", 4.44], [""flight"", 4.43], [""year"", 4.42], [""fruit"", 4.38], [""gin"", 4.37], [""eat"", 4.33], [""artifact"", 4.27], [""oracle"", 4.22], [""CD"", 4.19], [""jaguar"", 4.19], [""wizard"", 4.18], [""series"", 4.16], [""crane"", 4.03], [""chemistry"", 3.99], [""example"", 3.98], [""radio"", 3.97], [""yen"", 3.96], [""gain"", 3.95], [""article"", 3.95], [""currency"", 3.93], [""star"", 3.92], [""tournament"", 3.91], [""children"", 3.89], [""term"", 3.83], [""serial"", 3.82], [""egg"", 3.82], [""woman"", 3.78], [""rooster"", 3.76], [""entity"", 3.75], [""girl"", 3.74], [""music"", 3.74], [""culture"", 3.73]]",True
cell,phone,Short form for 'cell phone'.,"[[""entity"", 5.05], [""life"", 4.97], [""car"", 4.88], [""collection"", 4.85], [""center"", 4.83], [""group"", 4.76], [""phone"", 4.67], [""cock"", 4.67], [""match"", 4.66], [""chemistry"", 4.55], [""CD"", 4.49], [""organism"", 4.48], [""development"", 4.4], [""activity"", 4.33], [""gin"", 4.31], [""fruit"", 4.3], [""object"", 4.27], [""institution"", 4.26], [""animal"", 4.25], [""combination"", 4.21], [""issue"", 4.2], [""string"", 4.19], [""cat"", 4.12], [""yen"", 4.11], [""cash"", 4.07], [""woman"", 4.04], [""culture"", 4.04], [""live"", 4.01], [""slave"", 4.0], [""series"", 4.0], [""example"", 3.99], [""term"", 3.98], [""place"", 3.97], [""serial"", 3.96], [""girl"", 3.87], [""death"", 3.87], [""tournament"", 3.8], [""egg"", 3.79], [""eye"", 3.78], [""sex"", 3.76], [""kind"", 3.69], [""nation"", 3.67], [""tiger"", 3.65], [""article"", 3.65], [""queen"", 3.65], [""jewel"", 3.6], [""oracle"", 3.59], [""hotel"", 3.58], [""equipment"", 3.58], [""sprint"", 3.58], [""children"", 3.58], [""production"", 3.53], [""gain"", 3.52], [""confidence"", 3.5], [""mammal"", 3.49], [""feline"", 3.48], [""doctor"", 3.47], [""news"", 3.46], [""flight"", 3.44], [""mother"", 3.42], [""year"", 3.42], [""wizard"", 3.39], [""energy"", 3.39]]",True
cemetery,graveyard,Synonymous place for burial and remembrance.,"[[""graveyard"", 7.5]]",True
century,year,Represents a unit of time related to century.,"[[""century"", 10.0], [""year"", 4.28], [""dollar"", 3.76], [""center"", 3.75], [""avenue"", 3.66], [""currency"", 3.57], [""month"", 3.54], [""kilometer"", 3.28], [""culture"", 3.27], [""car"", 3.18], [""yen"", 3.08], [""cock"", 3.05], [""development"", 3.04], [""chemistry"", 3.01], [""history"", 2.98], [""ear"", 2.92], [""collection"", 2.9], [""term"", 2.9]]",True
championship,tournament,Synonymous with competition or championship events.,"[[""tournament"", 4.81], [""match"", 3.85], [""medal"", 3.74], [""basketball"", 3.73], [""chemistry"", 3.72], [""soccer"", 3.57], [""center"", 3.52], [""series"", 3.45], [""confidence"", 3.44], [""CD"", 3.42], [""queen"", 3.41], [""association"", 3.38], [""term"", 3.33], [""car"", 3.31], [""tennis"", 3.3], [""secretary"", 3.29], [""nation"", 3.29], [""century"", 3.28], [""cock"", 3.25], [""performance"", 3.23]]",True
chance,match,Relates to probability or possible outcomes.,"[[""confidence"", 4.47], [""gain"", 4.21], [""combination"", 4.04], [""chemistry"", 3.99], [""flight"", 3.89], [""cash"", 3.89], [""tournament"", 3.88], [""loss"", 3.86], [""kind"", 3.82], [""issue"", 3.75], [""effort"", 3.72], [""credibility"", 3.71], [""match"", 3.69], [""cock"", 3.66], [""lad"", 3.63], [""dollar"", 3.55], [""car"", 3.54], [""oracle"", 3.45], [""buck"", 3.45], [""development"", 3.42], [""recommendation"", 3.41], [""voyage"", 3.41], [""wizard"", 3.4], [""yen"", 3.39], [""currency"", 3.38], [""place"", 3.37], [""approach"", 3.35], [""culture"", 3.33], [""importance"", 3.33], [""gin"", 3.32], [""noon"", 3.29], [""life"", 3.26], [""term"", 3.25], [""production"", 3.22], [""collection"", 3.21], [""artifact"", 3.19], [""project"", 3.18], [""proximity"", 3.18], [""sex"", 3.18], [""jewel"", 3.16], [""death"", 3.14], [""recess"", 3.13], [""plan"", 3.12], [""group"", 3.12], [""fruit"", 3.11], [""departure"", 3.1], [""motto"", 3.1], [""jazz"", 3.08], [""children"", 3.07], [""conclusion"", 3.07], [""article"", 3.05], [""smile"", 3.05], [""performance"", 3.05], [""trading"", 3.02], [""insurance"", 3.02], [""substance"", 3.01], [""energy"", 3.01]]",True
chord,music,A harmonic element in musical compositions.,"[[""music"", 4.32], [""chemistry"", 3.56], [""term"", 3.52], [""cock"", 3.42], [""jazz"", 3.38], [""center"", 3.36], [""CD"", 3.36], [""ear"", 3.35], [""series"", 3.24], [""group"", 3.21], [""match"", 3.2], [""energy"", 3.19], [""string"", 3.19], [""plan"", 3.18], [""yen"", 3.16], [""fruit"", 3.14], [""issue"", 3.12], [""kind"", 3.04], [""phone"", 3.04], [""motto"", 3.03], [""culture"", 3.02], [""metal"", 3.02], [""car"", 3.02], [""hill"", 3.01], [""discipline"", 3.0], [""crane"", 3.0], [""radio"", 2.99], [""atmosphere"", 2.95], [""combination"", 2.94], [""architecture"", 2.94], [""association"", 2.93], [""shore"", 2.92], [""entity"", 2.91]]",True
coast,shore,Area where land meets the sea.,"[[""shore"", 4.92], [""center"", 4.14], [""cock"", 4.1], [""surface"", 3.68], [""hill"", 3.66], [""car"", 3.6], [""place"", 3.59], [""landscape"", 3.57], [""culture"", 3.55], [""recess"", 3.54], [""avenue"", 3.53], [""voyage"", 3.53], [""woodland"", 3.31], [""kilometer"", 3.3]]",True
computer,computation,Essential function related to computer operations.,"[[""phone"", 4.92], [""equipment"", 4.75], [""information"", 4.5], [""computation"", 4.36], [""cat"", 4.22], [""chemistry"", 4.19], [""object"", 4.19], [""car"", 4.16], [""CD"", 4.1], [""science"", 3.94], [""center"", 3.92], [""children"", 3.89], [""institution"", 3.89], [""radio"", 3.84], [""wizard"", 3.82], [""animal"", 3.79], [""doctor"", 3.73], [""operation"", 3.7], [""cock"", 3.65], [""automobile"", 3.58], [""combination"", 3.56], [""music"", 3.55], [""metal"", 3.49], [""woman"", 3.47], [""hotel"", 3.44], [""organism"", 3.41], [""student"", 3.39], [""development"", 3.35], [""history"", 3.3]]",True
consumer,payment,Involved in consumer transactions.,"[[""woman"", 5.42], [""cock"", 5.18], [""student"", 5.06], [""cash"", 4.86], [""car"", 4.81], [""object"", 4.8], [""industry"", 4.8], [""gain"", 4.79], [""activity"", 4.79], [""culture"", 4.77], [""equipment"", 4.77], [""collection"", 4.74], [""chemistry"", 4.65], [""production"", 4.6], [""fruit"", 4.54], [""animal"", 4.54], [""issue"", 4.47], [""entity"", 4.47], [""yen"", 4.44], [""slave"", 4.4], [""currency"", 4.39], [""oracle"", 4.38], [""center"", 4.38], [""nation"", 4.29], [""loss"", 4.29], [""personnel"", 4.29], [""American"", 4.19], [""group"", 4.19], [""gin"", 4.16], [""eat"", 4.11], [""article"", 4.1], [""combination"", 4.06], [""performance"", 4.06], [""carnivore"", 4.05], [""doctor"", 4.03], [""confidence"", 4.03], [""news"", 4.02], [""phone"", 3.98], [""kind"", 3.96], [""development"", 3.95], [""cat"", 3.92], [""buck"", 3.87], [""girl"", 3.86], [""artifact"", 3.86], [""payment"", 3.84], [""match"", 3.84], [""trading"", 3.83], [""children"", 3.83], [""hotel"", 3.82], [""eye"", 3.82], [""wizard"", 3.8], [""information"", 3.79], [""automobile"", 3.79], [""ear"", 3.75], [""recommendation"", 3.75], [""food"", 3.72], [""organism"", 3.72], [""example"", 3.7], [""operation"", 3.7], [""mother"", 3.69], [""life"", 3.65]]",True
crane,fauna,"Crane is a type of bird, part of fauna.","[[""crane"", 10.0], [""car"", 4.03], [""cock"", 3.91], [""rooster"", 3.58], [""oracle"", 3.55], [""sprint"", 3.41], [""equipment"", 3.41], [""buck"", 3.4], [""doctor"", 3.29], [""nurse"", 3.22], [""mammal"", 3.21], [""cat"", 3.21], [""artifact"", 3.19], [""tiger"", 3.19], [""animal"", 3.18], [""phone"", 3.17], [""lobster"", 3.09], [""wizard"", 3.07], [""slave"", 3.05], [""collection"", 3.03], [""gin"", 3.03], [""project"", 3.03], [""gain"", 3.02], [""lad"", 3.01], [""carnivore"", 3.0], [""architecture"", 2.97], [""graveyard"", 2.97], [""combination"", 2.96], [""jaguar"", 2.94], [""flight"", 2.92], [""woman"", 2.91], [""year"", 2.89], [""personnel"", 2.88], [""plan"", 2.87], [""center"", 2.85], [""cucumber"", 2.84], [""effort"", 2.83], [""feline"", 2.81], [""match"", 2.8], [""eye"", 2.78], [""cognition"", 2.78], [""egg"", 2.77], [""object"", 2.77], [""ear"", 2.77], [""automobile"", 2.76], [""eat"", 2.76], [""hill"", 2.75], [""implement"", 2.74], [""brother"", 2.74], [""operation"", 2.72], [""approach"", 2.71]]",False
cucumber,fruit,Cucumber is classified as a type of fruit.,"[[""cucumber"", 10.0], [""cabbage"", 5.93], [""potato"", 4.09], [""fruit"", 3.99]]",True
cup,tableware,Cup is a type of tableware.,"[[""cock"", 6.59], [""car"", 5.71], [""cash"", 4.98], [""center"", 4.97], [""fruit"", 4.87], [""place"", 4.75], [""buck"", 4.6], [""lad"", 4.54], [""butter"", 4.45]]",False
delay,project,"Common phrase ""project delay"".","[[""block"", 5.38], [""departure"", 4.9], [""lad"", 4.48], [""warning"", 4.18], [""noon"", 3.89], [""payment"", 3.87], [""term"", 3.85], [""loss"", 3.83], [""doctor"", 3.82], [""plan"", 3.76], [""gain"", 3.74], [""implement"", 3.74], [""flight"", 3.63]]",False
deployment,operation,Closely related to the act of deploying resources.,"[[""operation"", 6.02], [""development"", 5.84], [""project"", 5.57], [""implement"", 5.02], [""production"", 4.98], [""departure"", 4.95], [""activity"", 4.54], [""plan"", 4.47], [""artifact"", 4.3], [""equipment"", 4.26], [""landscape"", 4.26], [""oracle"", 4.2], [""collection"", 4.06], [""performance"", 4.05]]",True
development,project,Closely related to development activities.,"[[""development"", 10.0], [""production"", 6.1], [""project"", 5.47], [""activity"", 5.23], [""implement"", 5.03], [""culture"", 4.95], [""operation"", 4.85], [""issue"", 4.77], [""performance"", 4.76], [""equipment"", 4.71], [""plan"", 4.66], [""architecture"", 4.64], [""industry"", 4.63], [""chemistry"", 4.57], [""entity"", 4.56], [""gain"", 4.49], [""landscape"", 4.31], [""artifact"", 4.29], [""institution"", 4.29], [""death"", 4.27], [""combination"", 4.26], [""history"", 4.21], [""life"", 4.2], [""departure"", 4.19], [""live"", 4.18], [""term"", 4.13]]",True
direction,avenue,A type of street signifying direction.,"[[""center"", 4.68], [""place"", 4.52], [""warning"", 4.15], [""plan"", 4.15], [""chemistry"", 4.14], [""development"", 4.1], [""yen"", 4.09], [""approach"", 4.03], [""doctor"", 4.02], [""issue"", 3.99], [""activity"", 3.97], [""term"", 3.95], [""recommendation"", 3.92], [""energy"", 3.9], [""object"", 3.89], [""eye"", 3.88], [""departure"", 3.79], [""phone"", 3.78], [""operation"", 3.77], [""gin"", 3.74], [""dollar"", 3.73], [""proximity"", 3.68], [""landscape"", 3.68], [""noon"", 3.62], [""CD"", 3.58], [""avenue"", 3.57], [""motto"", 3.56], [""discipline"", 3.54], [""ear"", 3.52], [""currency"", 3.5], [""architecture"", 3.49], [""nation"", 3.48], [""kind"", 3.45], [""block"", 3.44], [""entity"", 3.38], [""lad"", 3.33], [""shore"", 3.33], [""series"", 3.33], [""flight"", 3.31], [""effort"", 3.3], [""match"", 3.28], [""group"", 3.28], [""car"", 3.28], [""example"", 3.27], [""personnel"", 3.26], [""culture"", 3.26], [""index"", 3.25], [""year"", 3.22], [""production"", 3.22], [""equipment"", 3.19], [""information"", 3.17], [""gain"", 3.17], [""string"", 3.15], [""hotel"", 3.14]]",True
dividend,cash,Financial distribution paid to shareholders.,"[[""dollar"", 4.17], [""payment"", 4.0], [""gain"", 3.58], [""collection"", 3.57], [""currency"", 3.56], [""jewel"", 3.53], [""departure"", 3.46], [""fruit"", 3.44], [""tournament"", 3.43], [""cash"", 3.4], [""issue"", 3.39], [""production"", 3.38], [""queen"", 3.27], [""insurance"", 3.26], [""recess"", 3.24], [""development"", 3.23], [""loss"", 3.23], [""article"", 3.23], [""yen"", 3.21], [""sex"", 3.19], [""medal"", 3.19], [""voyage"", 3.18], [""trading"", 3.17], [""discipline"", 3.17], [""series"", 3.14], [""term"", 3.1], [""news"", 3.03], [""month"", 2.99], [""death"", 2.98], [""performance"", 2.97], [""smile"", 2.97], [""flight"", 2.96], [""computation"", 2.94], [""serial"", 2.93], [""mammal"", 2.93], [""buck"", 2.92], [""CD"", 2.91], [""match"", 2.9], [""peace"", 2.9], [""wine"", 2.89], [""nation"", 2.88], [""marriage"", 2.86], [""block"", 2.86], [""moon"", 2.86], [""oracle"", 2.82], [""confidence"", 2.81]]",True
doctor,nurse,Nurses work closely with doctors in healthcare settings.,"[[""doctor"", 10.0], [""nurse"", 4.92], [""phone"", 4.88], [""oracle"", 4.85], [""cock"", 4.69], [""professor"", 4.69], [""woman"", 4.69], [""car"", 4.55], [""wizard"", 4.52], [""girl"", 4.38], [""hotel"", 4.31], [""eye"", 4.31], [""children"", 4.28], [""chemistry"", 4.28], [""CD"", 4.26], [""place"", 4.14], [""issue"", 4.1], [""mother"", 4.1], [""equipment"", 4.1], [""radio"", 4.1], [""lad"", 4.07], [""center"", 4.06], [""student"", 4.06], [""kind"", 4.04], [""animal"", 4.02], [""death"", 3.95], [""development"", 3.93], [""ear"", 3.93], [""slave"", 3.9], [""secretary"", 3.87], [""series"", 3.86], [""life"", 3.86], [""cat"", 3.82], [""dollar"", 3.72], [""object"", 3.7], [""operation"", 3.69], [""match"", 3.69], [""year"", 3.68], [""article"", 3.64], [""tournament"", 3.64], [""activity"", 3.63], [""fruit"", 3.62], [""term"", 3.61], [""interview"", 3.58], [""departure"", 3.55], [""sex"", 3.54], [""noon"", 3.52], [""rabbi"", 3.52], [""science"", 3.52], [""magician"", 3.51], [""airport"", 3.48], [""news"", 3.44], [""yen"", 3.41], [""artifact"", 3.41], [""warning"", 3.4], [""group"", 3.39], [""music"", 3.38], [""institution"", 3.38], [""smile"", 3.37], [""month"", 3.35], [""cash"", 3.32], [""personnel"", 3.31], [""project"", 3.31], [""history"", 3.3]]",True
dollar,buck,Informal synonym commonly used for dollar.,"[[""dollar"", 10.0], [""currency"", 5.24], [""cash"", 4.4], [""yen"", 4.29], [""buck"", 4.24], [""medal"", 3.92], [""century"", 3.76], [""doctor"", 3.72], [""kilometer"", 3.71], [""payment"", 3.64], [""car"", 3.53]]",True
drink,Wine,A type of alcoholic beverage similar to drink.,"[[""wine"", 5.61], [""eat"", 5.02], [""water"", 4.74], [""food"", 4.47], [""lad"", 4.38], [""doctor"", 4.04], [""hotel"", 3.84], [""fruit"", 3.83], [""gain"", 3.81]]",False
energy,sun,Primary natural source of energy.,"[[""energy"", 10.0], [""water"", 4.98], [""entity"", 4.79], [""equipment"", 4.77], [""activity"", 4.64], [""effort"", 4.53], [""chemistry"", 4.52], [""metal"", 4.35], [""currency"", 4.28], [""information"", 4.25], [""science"", 4.22], [""life"", 4.15], [""animal"", 4.15], [""music"", 4.12], [""production"", 4.11], [""yen"", 4.06], [""gain"", 4.06], [""fruit"", 3.98], [""woman"", 3.9], [""object"", 3.82], [""peace"", 3.81], [""atmosphere"", 3.8], [""issue"", 3.77], [""article"", 3.74], [""eat"", 3.74], [""development"", 3.7], [""nation"", 3.69], [""confidence"", 3.67], [""personnel"", 3.65], [""death"", 3.65], [""forest"", 3.64], [""substance"", 3.64], [""performance"", 3.62], [""ear"", 3.57], [""food"", 3.55], [""importance"", 3.54], [""industry"", 3.53], [""gin"", 3.5], [""artifact"", 3.49], [""flight"", 3.48], [""phone"", 3.44], [""center"", 3.41], [""eye"", 3.41]]",False
experience,life,Life encompasses personal experiences and events.,"[[""performance"", 5.82], [""activity"", 5.5], [""development"", 5.28], [""issue"", 5.19], [""entity"", 4.97], [""artifact"", 4.95], [""history"", 4.89], [""production"", 4.81], [""culture"", 4.77], [""operation"", 4.7], [""example"", 4.65], [""equipment"", 4.62], [""life"", 4.61], [""effort"", 4.57], [""industry"", 4.46], [""project"", 4.39], [""term"", 4.37], [""student"", 4.29], [""tournament"", 4.21], [""live"", 4.17], [""science"", 4.09], [""sex"", 4.08], [""association"", 4.06], [""flight"", 4.03], [""energy"", 4.02], [""confidence"", 4.02], [""eat"", 4.0], [""year"", 3.97], [""credibility"", 3.92], [""voyage"", 3.92], [""place"", 3.92]]",True
five,dollar,Five relates to the dollar currency.,"[[""series"", 4.42], [""tournament"", 3.94], [""example"", 3.9], [""phone"", 3.84], [""combination"", 3.83], [""cock"", 3.78], [""kind"", 3.76], [""serial"", 3.7], [""month"", 3.69], [""fruit"", 3.69], [""yen"", 3.66], [""car"", 3.64], [""life"", 3.61], [""eat"", 3.6], [""match"", 3.58], [""year"", 3.56], [""children"", 3.56], [""flight"", 3.56], [""doctor"", 3.5], [""confidence"", 3.47], [""feline"", 3.39], [""collection"", 3.38], [""dollar"", 3.35], [""chemistry"", 3.35], [""term"", 3.34], [""queen"", 3.33], [""production"", 3.27], [""group"", 3.26], [""smile"", 3.26], [""tiger"", 3.24], [""activity"", 3.18], [""development"", 3.17], [""issue"", 3.14], [""death"", 3.12], [""recommendation"", 3.12], [""gain"", 3.11], [""performance"", 3.11], [""woman"", 3.11], [""century"", 3.1], [""eye"", 3.1], [""place"", 3.1], [""cash"", 3.08], [""effort"", 3.07], [""mother"", 3.05], [""equipment"", 3.02], [""entity"", 3.01], [""cat"", 3.01], [""payment"", 2.97], [""noon"", 2.97], [""peace"", 2.97]]",True
focus,center,Central point of attention or activity.,"[[""center"", 5.59], [""issue"", 5.16], [""project"", 4.87], [""index"", 4.81], [""activity"", 4.67], [""plan"", 4.63], [""object"", 4.54], [""group"", 4.42], [""block"", 4.26], [""effort"", 4.17], [""surface"", 4.08], [""operation"", 4.08], [""eye"", 4.05], [""culture"", 3.95], [""approach"", 3.89], [""chemistry"", 3.89], [""place"", 3.85], [""fruit"", 3.84], [""performance"", 3.78], [""entity"", 3.77], [""confidence"", 3.75], [""cognition"", 3.74]]",True
